date,tavg,tmin,tmax,prcp,wdir,wspd,pres
01-01-2023 00:00,22.5,15.9,29,0,85,8.4,1017.2
02-01-2023 00:00,21.4,16.1,29.1,0,99,10.3,1017.3
03-01-2023 00:00,20.9,16.3,28,0,96,9,1017.7
04-01-2023 00:00,20.7,16.8,26.8,0,107,11.3,1016.7
05-01-2023 00:00,20.6,16.8,26.3,0,101,13,1017.2
06-01-2023 00:00,19.8,14.5,25.9,0,88,13.5,1018.1
07-01-2023 00:00,21,16.3,26.4,0,80,12.2,1017.3
08-01-2023 00:00,20.7,17,26.2,0,68,9,1016.2
09-01-2023 00:00,19.1,13.6,26.6,0,70,8,1017.6
10-01-2023 00:00,20.1,14.3,28,0,85,9.8,1017.1
11-01-2023 00:00,20.5,13,28,0,87,8.7,1015.1
12-01-2023 00:00,21.4,14.2,29,0,82,8.5,1014
13-01-2023 00:00,21.2,13.4,30.1,0,87,7.9,1014.2
14-01-2023 00:00,20.7,14.5,29.6,0,83,7.5,1014.3
15-01-2023 00:00,21.4,12.8,29.8,0,87,8.4,1013.3
16-01-2023 00:00,22.5,13.4,30.9,0,79,7,1013.8
17-01-2023 00:00,21.3,14.7,30.3,0,88,8.1,1014.6
18-01-2023 00:00,20.6,14.7,30,0,95,9.7,1017.8
19-01-2023 00:00,21.1,14.5,29.5,0,91,10.8,1016.4
20-01-2023 00:00,20.6,14,29.5,0,107,11.2,1016.2
21-01-2023 00:00,20.6,16.6,26.6,0,90,10.9,1015.3
22-01-2023 00:00,20.8,15.2,26.4,0,95,12.5,1014.5
23-01-2023 00:00,20.4,16.2,27.5,0,100,11.7,1013.9
24-01-2023 00:00,21.7,17.4,27.8,0,107,11.4,1013.5
25-01-2023 00:00,20.7,15.2,27.3,0,99,10.1,1013.8
26-01-2023 00:00,21.7,15.5,29.2,0,106,9.8,1013.9
27-01-2023 00:00,22,16.4,29.6,0,102,9.7,1013.9
28-01-2023 00:00,21.9,14.7,29.6,0,81,11.1,1013.3
29-01-2023 00:00,22.3,14.4,29.4,0,85,12.3,1012.3
30-01-2023 00:00,22.8,18,29.7,0.5,92,11,1013.6
31-01-2023 00:00,22.5,17.2,28.7,0,64,11.6,1013.2
01-02-2023 00:00,22.5,15.4,28.8,0,62,13.9,1012.7
